name,nominal_pct,nonmonetary_pct,cash_bail_pct,ror_pct,unsecured_pct,total_cases,cash_bail_cases,ror_cases,avg_bail_amount,non_posting_rate,cash_bail_pct_black,cash_bail_cases_black,cash_bail_pct_white,cash_bail_cases_white,bail_amount_black,bail_amount_white,is_outlier,denied_pct
Indiana,0.0006738544474,0,0.3322102426,0.269541779,0.3854447439,1484,493,400,10000,0.3322102426,0.4030612245,79,0.3192675159,401,5000,10000,,0.01212938005
Jefferson,0,0,0.2471416007,0,0.7510993843,1137,281,0,20000,0.2471416007,0.3157894737,12,0.2421441774,262,25000,20000,,0.001759014952
Juniata,0,0.1803278689,0.4168618267,0,0.4004683841,427,178,0,25000,0.4168618267,0.36,9,0.4131578947,157,10000,25000,,0.002341920375
Lackawanna,0.0009798157946,0.04840290025,0.5289045659,0.01920438957,0.3940819126,5103,2699,98,15000,0.5289045659,0.603588907,740,0.5103825137,1868,20000,10000,,0.008426415834
Lancaster,0.001591313302,9.36E-05,0.3451277731,0.2259664888,0.4187026116,10683,3687,2414,15000,0.3451277731,0.421437796,979,0.3270455965,2618,20000,15000,,0.008518206496
Lawrence,0,0.2163543441,0.4423622942,0.3009653606,0.03634298694,1761,779,530,10000,0.4423622942,0.5886214442,269,0.3858823529,492,25000,10000,,0.003975014196
Lebanon,0.001679543164,0.0003359086329,0.2932482365,0.08162579778,0.6167282499,2977,873,243,5000,0.2932482365,0.3038674033,110,0.2946708464,752,10000,5000,,0.006382264024
Lehigh,0.03096380288,0,0.4497383341,0.04840819887,0.4645660706,9172,4125,444,8000,0.4497383341,0.5076660988,1192,0.431363567,2825,10000,7000,,0.006323593546
Luzerne,0.0004046944557,0.005395926076,0.2925940915,0.2928638878,0.3738027789,7413,2169,2171,20000,0.2925940915,0.3667076167,597,0.2698808041,1517,25000,15000,,0.03493862134
Lycoming,0.0003072196621,0.0003072196621,0.3493087558,0.0009216589862,0.6181259601,3255,1137,3,25000,0.3493087558,0.4850166482,437,0.2975064488,692,50000,25000,,0.03102918587
McKean,0.0006675567423,0,0.3531375167,0.05340453939,0.5894526035,1498,529,80,10000,0.3531375167,0.5040650407,62,0.3370786517,450,15000,10000,,0.003337783712
Mercer,0.0003010234798,0.02347983143,0.3687537628,0.08759783263,0.5189644792,3322,1225,291,15000,0.3687537628,0.4554140127,429,0.3381014304,780,22500,10000,,0.0009030704395
Mifflin,0.0008896797153,0,0.5195729537,0,0.4715302491,1124,584,0,25000,0.5195729537,0.6428571429,45,0.5140913508,529,35000,25000,,0.008007117438
Monroe,0.0005503577325,0.0001834525775,0.2779306549,0.2195927353,0.4912860026,5451,1515,1197,10000,0.2779306549,0.2998027613,456,0.2688541942,1016,10000,10000,,0.01045679692
Montgomery,6.69E-05,0.002006823199,0.2958057395,0.1473008228,0.5512074386,14949,4422,2202,5000,0.2958057395,0.3534708579,2159,0.2590218424,2182,5000,5000,,0.003612281758
Montour,0,0.003703703704,0.3555555556,0.3740740741,0.262962963,270,96,101,10000,0.3555555556,0.52,13,0.3506493506,81,25000,10000,,0.003703703704
Northampton,0.002814258912,0,0.3836772983,0.1045966229,0.5046904315,6396,2454,669,15000,0.3836772983,0.4531986532,673,0.3647851727,1732,15000,15000,,0.004221388368
Northumberland,0.000387897595,0,0.3894491854,0.1404189294,0.4631497285,2578,1004,362,15000,0.3894491854,0.4891304348,135,0.3672421839,787,20000,15000,,0.006594259116
Perry,0,0.006230529595,0.273364486,0.527258567,0.1838006231,1284,351,677,25000,0.273364486,0.3529411765,30,0.2642796249,310,25000,25000,,0.009345794393
Philadelphia,0,0.0005043059974,0.564822717,0.2138257429,0.1998215533,25778,14560,5512,100000,0.564822717,0.5997776217,10249,0.4981470412,4167,100000,100000,,0.02102568081
